name,nature,source,circumstance,gift_old_style,gift_received_date,gift_date
"Qualtrough, Carla",Canada Soccer promotional items:- Nike Red 2023 Canada Women's National Team Anthem Perfor...,"Ms. Charmaine Crooks, Canada Soccer President, on behalf of Canada Soccer and the National...",I visited the National Women’s Team training facility prior to their match against Austral..., ,2023/07/30,2023/09/01
"Alie, Agathe","A ticket to attend the tennis matches on August 13, 2023 in Montreal as well as access to ...",Tennis Canada,To support the Minister in her official duties, ,2023/08/13,2023/08/31
"St-Onge, Pascale","Pair of tickets to attend the tennis matches on August 13, 2023 in Montreal as well as acc...",Tennis Canada,Representative of the Government of Canada, ,2023/08/13,2023/08/28
"Freeland, Chrystia",Painting,Chief Tony Alexis on behalf of the Alexis Nakota Sioux First Nation,Community visit to the Alexis Nakota Sioux First Nation, ,2023/08/14,2023/08/25
"Mackenzie, Ian Reginald","Day pass for June 9, 2023, of the National Administrative Law Week at the Sheraton Ottawa,...",The Canadian Institute for the Administration of Justice (CIAJ) ,"I was a panellist at the CIAJ National Roundtable, ""Bias and Decision-Making: What’s Chang...", ,2023/06/09,2023/08/17
"Duguid, Terry",A woven blanket and a Metis sash,Métis Nation of Saskatchewan,On the occasion of the Back to Batoche gathering, ,2023/07/21,2023/08/03
"Lloyd, Dane","Invitation to attend the Tri-Region Mayors' Golf Classic in Spruce Grove, Alberta. Invitat...","Mayors of Spruce Grove, Stony Plain, and Parkland County.","Guest of the mayors of Spruce Grove, Stony Plain, and Parkland County at a local golf tour...","Gift received: July 13, 2023 ",,2023/08/02
"De Silva, Gitane","Stone carving entitled ""Standing Woman"" by Inuk artist Geela Alikatuktut",Board of Directors of the Canada Energy Regulator,In recognition of my mandate as Chief Executive officer and upcoming departure from the Ca..., ,2023/06/12,2023/07/23
"De Silva, Gitane",Wool Pendleton blanket,Canada Energy Regulator Indigenous Advisory Committee,In recognition of my mandate as Chief Executive officer and upcoming departure from the Ca..., ,2023/06/14,2023/07/23
"Hajdu, Patricia","Three ticket to attend the 150th anniversary of the lighthouse, including transportation b...",The Canadian Lighthouses of Lake Superior,"Invited to attend the 150th anniversary of the lighthouse in my riding, on Point Porphyry ...", ,,2023/07/20
"Hajdu, Patricia","Three ticket to attend the 150th anniversary of the lighthouse, including transportation b...",The Canadian Lighthouses of Lake Superior,"Invited to attend the 150th anniversary of the lighthouse in my riding, on Point Porphyry ...", ,,2023/07/20
"Dafoe, Joanna","One ticket to attend the Ottawa Riverkeeper Gala on May 31, 2023",Ottawa Riverkeeper,Attending to support the Minister of Environment and Climate Change in his official duties..., ,2023/05/26,2023/07/16
"Trudeau, Justin",Framed floral oil painting by artist Mary Meredith,"The Right Honourable Brian Mulroney, Brian Mulroney Institute of Government, St Francis Xa...",I was a keynote speaker at the Atlantic Economic Forum at the Brian Mulroney Institute of ..., ,2023/07/19,2023/07/14
"Duclos, Jean-Yves",Two tickets for a dinner and a show in the Festival d'été de Québec's corporate box,Festival d'été de Québec,"At the occasion of the Festival d'été de Québec, which takes place in my riding", ,,2023/07/12
"Duclos, Jean-Yves","Two tickets for a dinner and a show in the Festival d'été de Québec's corporate box, on Ju...",Festival d'été de Québec,"At the occasion of the Festival d'été de Québec, which takes place in my riding", ,,2023/07/12
"Voutsinas, Angelica",Apple Watch SE ,Liberal Party of Canada,Won a door prize when attending in my personal capacity the biennial Liberal Party Nationa..., ,2023/06/19,2023/07/11
"Ng, Mary",Decorative platter,"His Excellency Albert Muchanga, Commissioner for Economic Development, Trade, Tourism, Ind...","Gift exchanged by protocol officers during the visit from May 16 to 17, 2023. Received at ...", ,,2023/07/11
"Trudeau, Justin",Framed painted ‘Blood-Soaked Cities’ by Ukrainian artist Alina Kosenko,"Mrs. Olena Zelenska, First Lady of Ukraine ","Bilateral visit in Kyiv, Ukraine ", ,2023/06/10,2023/07/10
"Trudeau, Justin",Commemorative coin ‘The Garden of Divine Songs Skovoroda’ Ukraine 2022,"His Excellency Denys Shmyhal, Prime Minister of Ukraine","Bilateral visit in Kyiv, Ukraine", ,2023/06/10,2023/07/10
"Demers, Courtney","Tickets: 1
Event or sporting event ticket(s)
The Pearson Centre for Progressive Policy: A ...","Scott Simms
CEO and President of the Pearson Centre for Progressive Policy",Invited to honor the 60th anniversary of political involvement of the Right Honorable Jean..., ,2023/06/06,2023/07/07
"Oliphant, Robert","Two VIP passes for Pride Toronto Festival Weekend, June 23-25, 2023.",Pride Toronto,The passes were offered within the customary standards of hospitality that normally accomp..., ,,2023/07/04
"Oliphant, Robert","Two VIP passes for Pride Toronto Festival Weekend, June 23-25, 2023.",Pride Toronto,The passes were offered within the customary standards of hospitality that normally accomp..., ,,2023/07/04
"Knipe, Christopher","Ticket to attend ""An evening with the Rt. Hon. Jean Chrétien,"" an event organized by the P...",The Pearson Centre for Progressive Policy,"Attended to support the Minister of Intergovernmental Affairs, Infrastructure, and Communi...", ,,2023/06/29
"Hamann, Louis","One ticket to attend ""An evening with the Rt. Hon. Jean Chrétien"" on June 6, 2023 at the N...",The Pearson Centre for Progressive Policy,Accompanied the minister, ,,2023/06/27
"Cheesbrough, Elizabeth","One ticket to attend the Governor General's Performing Arts Awards on May 27, 2023 in Otta...",Governor General's Performing Arts Awards Foundation,I accompanied the minister , ,,2023/06/22
"Duclos, Jean-Yves","Glass pen and ink, a set of carafe and two glasses, and two decorative tumblers","Mr. Katsunobu Kato, Minister of Health, Labour and Welfare of Japan","At the occasion of the G7 Summit in Japan, from 8 to 15  May 2023", ,,2023/06/21
"Singh, Jagmeet",Insulated vest branded with the Pacheedaht First Nation logo,Pacheedaht First Nation,Following a meeting with the Pacheedaht First Nation on Parliament Hill, ,2023/06/14,2023/06/19
"Ferreri, Michelle",Custom Fire Helmet,Peterborough Professional Fire Fighters Association,Received while attending Fire Ops 101 Day. All levels of local officials participated in v..., ,2023/05/13,2023/06/16
"Mondou, Isabelle","Ticket to the 2023 Governor General’s Performing Arts Awards (May 26, 2023)","Her Excellency the Right Honourable Mary Simon, Gouverneur générale",Representative of the Department of Canada Heritage, ,2023/05/26,2023/06/16
"LeBlanc, Dominic","One ticket to attend ""An evening with the Rt. Hon. Jean Chrétien"" on June 6, 2023 at the N...",The Pearson Centre for Progressive Policy,Invited as a speaker to honor the 60th anniversary of political involvement of the Right H..., ,,2023/06/09
"Trudeau, Justin",Ceramic Moon Jar by artist Kim Hyosun,"His Excellency Yoon Suk Yeol, President of the Republic of Korea","Bilateral visit in Seoul, Korea ", ,2023/05/17,2023/06/08
"Trudeau, Justin",Traditional lacquer art “Iro-Miyabi” Sailor fountain pen in custom wooden box,"His Excellency Fumio Kishida, Prime Minister of Japan","G7 Summit in Hiroshima, Japan", ,2023/05/19,2023/06/08
"Trudeau, Justin",Wooden name plate with Mother of Pearl detailing in velvet box,"His Excellency Kim Jin Pyo, Speaker of the National Assembly of the Republic of Korea","Bilateral visit in Seoul, Korea", ,2023/05/17,2023/06/08
"Trudeau, Justin",Lacquerware sake set by Naoya Takayama in custom wooden box,"Matsui Kazumi, Mayor of Hiroshima","G7 Summit in Hiroshima, Japan", ,2023/05/19,2023/06/08
"Champagne, François-Philippe","One ticket to attend ""An evening with the Rt. Hon. Jean Chrétien"" on June 6, 2023 at the N...",The Pearson Centre for Progressive Policy,Invited to honor the 60th anniversary of political involvement of the Right Honorable Jean..., ,,2023/06/08
"Trudeau, Justin",Frank W. Schofield bronze bust on marble stand,"Mr. Kim Soo-sam, Superintendent of the Seoul National Cemetery","Bilateral visit in Seoul, Korea", ,2023/05/17,2023/06/08
"Trudeau, Justin",Maki-e wine glass set decorated with maple leaves and Nishikigoi carp by 7th generation Ki...,"His Excellency Fumio Kishida, Prime Minister of Japan","G7 Summit in Hiroshima, Japan", ,2023/05/19,2023/06/08
"Trudeau, Justin",Stone fishhook pendant by Alex Sands,"The Right Honourable Chris Hipkins, Prime Minister of New Zealand",Coronation of Charles III and Camilla, ,2023/05/06,2023/06/08
"Trudeau, Justin",King Sejong’s Royal Seal (Eobo) and stand with plaque celebrating 60th Anniversary of Cana...,"Mr. Kim Du-gun, Chief Director, United Nations Korean War Allies Association (UNKWAA) ","Bilateral visit in Gapyeong, Korea ", ,2023/05/18,2023/06/08
"Trudeau, Justin",Indonesia Ceremonial Sword presented in a cloth case,"His Excellency Joko Widodo, President of the Republic of Indonesia andMrs. Iriana Joko Wid...","G7 Summit in Hiroshima, Japan", ,2023/05/20,2023/06/08
"Hardie, Ken",One bottle of single malt Taiwan whisky ,Taipei Economic and Cultural Office in Canada ,"Gift received as an expression of protocol during a meeting with Mr. Harry Tseng, Taiwan's...", ,2023/06/06,2023/06/07
"Dabrusin, Julie","One ticket to attend ""An evening with the Rt. Hon. Jean Chrétien"" on June 6, 2023 at the N...",The Pearson Centre for Progressive Policy,Invited in my capacity as Member of Parliament for Toronto-Danforth, ,2023/06/02,2023/06/05
"Dabrusin, Julie","One ticket to attend ""An evening with the Rt. Hon. Jean Chrétien"" on June 6, 2023 at the N...",The Pearson Centre for Progressive Policy,Invited in my capacity as Member of Parliament for Toronto-Danforth, ,2023/06/02,2023/06/05
"Miller, Marc",Beaded medallion depicting a white buffalo,"Jennifer Bone, Chief of Sioux Valley Dakota First Nation",Visit to the Sioux Valley Dakota First Nation to announce infrastructure funding, ,2023/05/23,2023/06/05
"Rota, Anthony","Bottle of Speaker Hoyle's Select Single Malt Scotch Whisky, crystal decanter, and mug","The Right Honourable Sir Lindsay Hoyle, Speaker of the House of Commons of the United King...","Courtesy visit to Ottawa by Sir Lindsay Hoyle, Speaker of the House of Commons of the Unit...", ,,2023/06/02
"Miller, Marc",Ceremonial pipe,"Regis Penosway, Chief of Kitcisakik",Signing ceremony of a Framework Agreement to guide the recognition and implementation of t..., ,2023/05/26,2023/06/02
